data_trimestre,fundo,mandato,tipo_gestao,segmento_atuacao,cnpj_fundo,Qdade_cotas_emitidas,nome_ativo,cnpj_ativo,quantidade_ativo,valor_ativo,size
2021/06,AQUILLA FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,13.555.918/0001-49,98221.98,AQ3 RENDA,14.069.202/0001-02,57105.14,51870564.01,5.000310617363185
2021/06,AQUILLA FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,13.555.918/0001-49,98221.98,FIRENZE,14.074.721/0001-50,42918.7,36543128.53,5.000310617363185
2019/12,AQUILLA FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,13.555.918/0001-49,98221.98,AQ3 RENDA FII,14.069.202/0001-02,57105.14,69841694.77,5.000310617363185
2019/12,AQUILLA FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,13.555.918/0001-49,98221.98,FIRENZE FII,14.074.721/0001-50,42918.7,34379749.03,5.000310617363185
2020/12,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII BCIA,20.216.935/0001-17,196.0,22581.16,5.013936308516011
2020/12,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII DEVANT,37.087.810/0001-37,57000.0,6725430.0,5.013936308516011
2020/12,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII HECTARE,30.248.180/0001-96,8725.0,1285628.75,5.013936308516011
2020/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,2979799.0,FII UBS (BR),18.979.895/0001-13,34929.0,3553327.17,5.009437884815168
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII BCIA - BCIA11,20.216.935/0001-17,196.0,18443.6,5.013936308516011
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII DEVANT - DEVA11,37.087.810/0001-37,70989.0,7453845.0,5.013936308516011
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII DEVANT - DEVA13,37.087.810/0001-37,105476.0,11074980.0,5.013936308516011
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII DEVANT - DEVA14,37.087.810/0001-37,43478.0,4565190.0,5.013936308516011
2021/06,BANESTES RECEBIVEIS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO,Titulos e Valores Mobiliarios,Ativa,Titulos e Val. Mob.,22.219.335/0001-38,4400000.0,FII HECTARE - HCTR11,30.248.180/0001-96,188394.0,24999883.8,5.013936308516011
